Timestamp,School Name,pumpkin_diameter,pumpkin_thickness,pumpkin_height,rubber-band_length,rubber-band_width,pumpkin_circumference,rubber-band_number,"If you video taped your explosion and uploaded it to YouTube/Vimeo, etc. Please provide the URL",Teacher Name / Twitter Name,Comments,"If you video taped your destruction and uploaded it to YouTube/Vimeo, etc. Please provide the URL",Teacher Name or Twitter Name,Make an Estimate!!!! - How many rubber bands will make this pumpkin explode?,"If you video taped your destruction and uploaded it to YouTube/Vimeo, etc. Please provide the URL",Watch Act 3 to see the pumpkin explode! [watch only after estimating]
10/31/2014 9:22:46,NCVIS,31,2.5,27,Thick - 9cm,,76,147,,,"This took a long time! Almost all period.
When the pumpkin exploded it kind of just split in two - there was a big dent on one side that was impeding our work.",,Colvin,200,,
10/31/2014 9:53:14,WDSS,24.5,4.5,28,8.89,,77,204,,,The pumpkin may have been slightly soft.,,Haley,212,,
10/31/2014 10:25:19,WDSS,24.9,,,,,76,141,,,,,Verkaik,250,,
10/31/2014 10:28:27,SCITS,28,7,23,19,,88,503,,,,,MrJeffreyLKDSB,,,
10/31/2014 10:30:18,Tecumseh Vista Academy,30.6,3.5,24,8.89,,96,190,,,Short and wide pumpkin rather than tall and skinny.,http://youtu.be/N6h_vPvMXZ8,@MathletePearce,250,,
10/31/2014 10:48:55,Evans Middle,10,1.75,10,3.5 x 0.25 inches,,31.5,160,,,,,@mrsmooreevans,,,
10/31/2014 11:51:41,St. Clair,24,4,31,9,,84,362,,,Didn't really explode.  The top just kind  of sliced off.,,Gartley,222,,
10/31/2014 11:53:13,Kinnwood,23,4,30,"9 cm, a thick one (5 mm wide)",,74,170,,,"We had an interruption to our experiment (we had 170 elastics on it at that time)- we left it about 2 minutes, and when we went back to do elastic #171, before we could approach the pumpkin, it blew.  Elapsed time between elastics might be a factor.",,Mrs. M. Vandenberg,Mean- 195 elastics,,
10/31/2014 11:53:20,St. Clair,27,5,31,9,,99,497,,,Tried a pumpkin with circumference of 126 and the elastics did not fit.,,Gartley,403,,
10/31/2014 12:20:52,,19.3,3,19.3,"3,5x0,25 inches",,62.3,79,,,The pumpkin had a very soft wall (getting old!),,,,,
10/31/2014 12:21:40,,28.5,2.5,26.5,"3,5 x 1/4 inch",,90.5,149,,,,,,,,
10/31/2014 12:37:39,JMSS,24,4.5,24,8.89,,72,407,,,,,Mr. Orr,,,
10/31/2014 12:41:10,Hugh Beaton,33,4,32,10cm thick ones,,104,206,,,,,@mrlappalainen,314 (class average),,
10/31/2014 12:52:51,Trenton High School,18.5,3,16,"3 1/2"" x 1/8""",,64,275,,,,http://youtu.be/Dampl16DOIk,@DaveLanovaz,,,
10/31/2014 13:26:24,Evans Middle,9,1.5,9,3.5 x 0.25 inches,,30.5,140,,,,,@mrsmooreevans,100,,
10/31/2014 13:29:23,JMSS,25,2,31,20,,92,140,,,"Mr. Regan's Class

Working on getting the video to work",,,,,
10/31/2014 13:34:48,WDSS,16.5,,,,,52,270,,,,,Michelle Millard,,,
10/31/2014 13:46:01,manitoulin secondary school Gr. 10 Ap. Sci,20.5,5,34,3.5 by 0.5 cm,,64,698,,,,,@MZegil,350,,
10/31/2014 13:51:42,JMSS,28,5,29,8.89,,81,378,,,,,Mr. Orr,,,
10/31/2014 13:52:38,JMSS,20,4,31,8.89,,81,328,,,,,Mr. Orr,,,
10/31/2014 14:17:38,NCIVS,15.5,3,,9.5cm thin,,98,393,,,,,Mrs. Whiteye,,,
10/31/2014 14:18:32,CKSS,29.2,3,24.5,8.89,,94,248,,,Pumpkin was used in decorating contest so it had some punctures in it already.,,MacDougall,,,
10/31/2014 14:20:58,CKSS,23.85,3.81,21.59,8.89,,74.9,184,,,1 side of the pumpking was starting to rot,,MacDougall,,,
10/31/2014 14:22:42,Evans Middl,10,1,10,3.5 x 0.25 inches,,33,144,,,New rubber bands and higher up on the pumpkin. ,,@mrsmooreevans,186,,
10/31/2014 14:23:54,CKSS,13.5,3.81,5.75,6.35,,16.75,884,,,pumpkin was not budging at 884 - small holes were poked around pumpkin and then it exploded,,MacDougall,,,
10/31/2014 14:31:18,Prince of Wales,19.5,3,24.5,3.5inch 1/4inch thick,,76.5,200,,,,https://drive.google.com/file/d/0B0_q6Xc6SRdRV1BORVdwYTh3OUk/view?usp=sharing,McEwenShawn,243,,
10/31/2014 14:31:30,Prince of Wales,18.5,3.5,26,8.89cm,,65,248,,,,,McEwenShawn,,,
10/31/2014 15:23:50,Evans Middle,10.25,0.75,9,3.5 x 0.25 inches,,34.5,134,,,This pumpkin had a bad spot on the side wall. ,,@mrsmooreevans,100,,
11/1/2014 16:50:36,Royalton-Hartland MS,25.9,4.45,28.9,"7"" x 1/8""",,81.4,326,,,,not video taped,Adam Eschborn (@eschy12),,,
11/1/2014 16:51:08,Royalton-Hartland MS,22,4.5,33.5,"7"" x 1/8""",,82,340,,,,http://youtu.be/fYQqn4Q53RI,Adam Eschborn (@eschy12),,,
11/1/2014 16:51:33,Royalton-Hartland MS,27,4.1,30,"7"" x 1/8""",,85,355,,,,http://youtu.be/fYQqn4Q53RI,Adam Eschborn (@eschy12),,,
11/1/2014 16:51:58,Royalton-Hartland MS,24,4.05,34,"7"" x 1/8""",,90,380,,,,http://youtu.be/fYQqn4Q53RI,Adam Eschborn (@eschy12),,,
11/1/2014 16:52:24,Royalton-Hartland MS,21,4.5,37,"7"" x 1/8""",,73,450,,,,http://youtu.be/fYQqn4Q53RI,Adam Eschborn (@eschy12),,,
11/1/2014 16:52:51,Royalton-Hartland MS,29,4,31,"7"" x 1/8""",,74,365,,,,http://youtu.be/fYQqn4Q53RI,Adam Eschborn (@eschy12),,,
11/1/2014 16:53:20,Royalton-Hartland MS,27,4.5,28,"7"" x 1/8""",,83.5,330,,,,http://youtu.be/fYQqn4Q53RI,Adam Eschborn (@eschy12),,,
11/3/2014 10:16:25,Pinewood,23,5.54,29,19 1/2cm 8in,,70,140,,,,,@LoribarrBarr,200,,
11/3/2014 10:29:02,Pinewood,23,5.54,20.32,64 cm,,75,62,,,Other pumpkins took alot more bands than this pumpkin this was an awesome opportunity this was fun,,@LoribarrBarr,200,,
11/3/2014 10:34:00,Pinewood ,25,5.54,29,3 1/2 and 1/4 ,,93,136,,,I thought that the pumpkin would explode very easily by looking at the video but when I tried it it wasn't that easy after all .,,@loribarrBarr,90,,
11/3/2014 10:52:23,Pinewood,8,6.35,12,3 1/2 x 1/4'',,45,269,,,It took a long time and we didn't think the pumpkin would explode.BUT it DID!!! It was also really fun and we enjoyed it. ,,@LoribarrBarr,257,,
11/3/2014 10:56:59,Pinewood,71,6.35,28,26 cm or 3.5 x 1/4,,150,325,,,So fun!!! Thank you for such a great idea. Can't wait to explore our data and compare with other classes in America!,,@LoribarrBarr,200,,
11/3/2014 13:42:36,Tecumseh Vista Academy,29.5,4,38,8.89,,102,283,,,,http://youtu.be/JcPx_gF0vcc,@MathletePearce,250,,
11/3/2014 15:23:54,Central Catholic High School,27.4,4,32,standard,,86,153,,,Video will be posted.,,@coachirwin,150,,
11/3/2014 15:24:52,Central Catholic High School,31.2,4,28,,,98,183,,,Video coming.  Rubber bands were standard ones like everyone else used.,,@coachirwin,175,,
11/3/2014 16:04:23,@BrookeCentral,26,2.9,,medium thick?,,81.64,427,,,,http://youtu.be/nWZBarA2Byg,@hewettja,178,,
11/3/2014 16:09:57,,12,1,13,5,,37,240,,,,,,200,,
11/4/2014 10:31:02,university of Texas at Tyler Innovation academy,24,3,28,9 cm ,,74,138,,,,,Mr.Richmond,70,,
11/4/2014 10:31:43,innovation academy ,24,3,28,"9 cm, thick ones ",,74,138,,,yasssss.,,mr. richmond,150,,
11/4/2014 10:31:45,University of Tyler ,24,3,28,,,74,138,,,,,"Mr, Richmond ",150,,
11/4/2014 10:31:49,innovation acandemy,24,3,28,,,74,138,,,,ok,mr. richmond,,,
11/4/2014 10:35:34,Innovation Academy ,24,3,28,9 cm. ,,74,138,,,,,Mr. Richmond ,50,,
11/4/2014 15:20:49,St. Pius X High School ,32.29,5.3,38.3,3.5 inches by 0.25 inches,,101.7,276,,,Diameter/Height ratio was very important in this activity.  Short and wide pumpkin was impossible to explode!  So much fun. Thank you. ,https://www.youtube.com/watch?v=fTtiTCj_KhY,Lili Bastianelli,,,
11/4/2014 20:37:17,Stephen Lewis SS,26.3,3.9,,,,82.5,339,,,Pumpkin split but top remained on (did not go flying).,,Alyssa Carmichael @MathiesUnite,270,,
11/4/2014 20:38:47,Stephen Lewis SS,24.8,4.5,,,,78,348,,,Both halves of pumpkin went flying (pumpkin started to leak before explosion).,,Alyssa Carmichael @MathiesUnite,270,,
11/5/2014 10:28:01,Pinewood 6th grade,30.5,5.5,N/A,19 cm,,101,170,,,We had to leave 110 bands on for 22 hours then added 60 more this morning to break it. Would the kinetic energy from the bands have weakened the pumpkin walls? Would it have taken more rubber bands if we had time to add all the bands at once?,,@LoribarrBarr,220,,
11/6/2014,Mother Teresa High School Ottawa,17,3,21,3.5 inchesx.25 inches,,53.38,241,,,,,Heather Lindale,,,
11/6/2014,Mother Teresa High School Ottawa,16,3,20,3.5 inchesx.25 inches,,50.24,223,,,,,Heather Lindale,,,
11/6/2014,Mother Teresa High School Ottawa,15,2,17,3.5 inchesx.25 inches,,47.1,183,,,,,Heather Lindale,,,
11/6/2014,Mother Teresa High School Ottawa,14,2,15,3.5 inchesx.25 inches,,43.96,168,,,,,Heather Lindale,,,
11/6/2014,Mother Teresa High School Ottawa,13.5,1,15,3.5 inchesx.25 inches,,42.39,130,,,,,Heather Lindale,,,
11/6/2014 10:02:49,"St. Pius X, Ottawa",26,3.5,31,8.89 cm x 0.63 cm,,83,138,,,,http://youtu.be/WOlU1gNZHHQ,Stephanie Plazek,,,
11/6/2014 10:04:27,"St. Pius X , Ottawa",23.3,3.8,26,8.69 cm x 0.63 cm,,75.5,166,,,,,Stephanie Plazek,150,,
11/6/2014 10:06:18,"St. Pius X , Ottawa",25,5,33,3.89 cm x 0.63 cm,,79,110,,,,,Stephanie Plazek,999,,
11/6/2014 10:59:15,"St. Pius X , Ottawa",17,3.5,25.5,8.89 cm x 0.63 cm,,70,85,,,,http://youtu.be/WOlU1gNZHHQ,Stephanie Plazek,200,,
11/7/2014 21:58:56,Fremont Ross High School,25.4,2.54,43.2,3 inches,,86.4,185,,,,,Mrs. Kolbeck,294,,
11/7/2014 22:00:11,Fremont Ross High School,25.4,2.54,33,3 inches,,69.9,183,,,,,Mrs. Kolbeck,195,,
11/26/2014,North Babylon High Schoo,32.8,3.9,,,,65.6,180,,,We thought it was going to take more rubber bands. We used medium sized rubber bands.,,Mrs. Elizabeth Luna,250,,
10/22/2015 13:06:24,,23,,,8.89,,72,187,,,#64 rubber band type,twitter  @acoop777,,,,
10/22/2015 13:08:03,Coppell Middle School East/Mockingbird,23,,,8.89,,72,187,,,,,Amanda Cooper   @acoop777,157,,
10/22/2015 13:09:35,Coppell Middle School East/ Mockingbird,24,,,8.89,,75,140,,,,,Cooper   @acoop777,,,
10/22/2015 13:10:23,Coppell Middle School East/ Mockingbird,25,,,8.89,,76.5,113,,,,,Cooper  @acoop777,,,
10/22/2015 13:11:11,Coppell Middle School East/ Mockingbird,26,,,8.89,,81.2,144,,,,,Cooper @acoop777,,,
10/22/2015 13:12:03,Coppell Middle School East/ Mockingbird,27,,,8.89,,85,159,,,,,Cooper @acoop777,,,
10/22/2015 13:12:45,Coppell Middle School East/ Mockingbird,28,,,8.89,,88,257,,,,,Cooper  @acoop777,,,
10/27/2015 9:03:00,Saint Andrew's school,25,5,26,8.89,6.3,83.82,154,,@Lisaqt314,,,,158,,
10/27/2015 13:08:36,Waukesha North High School,26,3,26,8.89,6.4,92,104,https://youtu.be/naXJ6nHPf1Q,Syverson/ @rsyvermath,Our pumpkin was rather yellow (older) and this may have caused an early implosion.,,,206,,
10/27/2015 16:45:38,Waukesha North High School,24,4,20,8.89,6.4,83,118,https://youtu.be/cP3zTYzGbL8,Syverson/ @rsyvermath,,,,184,,
10/28/2015 9:49:33,R. A. Riddell,29,3,28,8.89,0.63,91.06,136,,@mcewenshawn7,,,,250,,
10/28/2015 15:51:20,"Chatfield Sr HS- Alg 1, p.1 ",21,2.5,19.5,8.89,6.4,66,188,,Keri Brusven / @MathBrusven,,,,,,
10/28/2015 15:52:49,"Chatfield Sr HS- Alg 1, p.2",22.5,2.5,19.5,8.89,6.4,68,158,,Keri Brusven / @MathBrusven,,,,,,
10/29/2015 9:42:07,,20,3,19,8.89,6.4,68,146,,,,,,,,
10/29/2015 9:42:45,,21,3,19,8.89,6.4,70,149,,,,,,,,
10/29/2015 11:11:42,Dr. Frank J. Hayden SS,35,2.54,28,8.9,0.6,83.82,91,,@MsBriggsHDSB,,,,1000,,
10/29/2015 11:12:44,Dr. Frank J. Hayden SS,25,3.5,21,8.9,0.6,75,154,,@MsBriggsHDSB,,,,698,,
10/29/2015 11:14:37,Dr. Frank J. Hayden SS,20.32,2.5,24,8.9,0.6,70,105,,@MsBriggsHDSB,,,,1000,,
10/29/2015 12:21:49,R.A. Riddell,29.5,,31,8.89,0.63,89,223,,@mcewenshawn7,,,,180,,
10/29/2015 13:17:20,DFJHSS,14,4,20,10,5,52,248,,@DFJH_Mitchell,The pumpkin was rotten in the middle.  Ew.,,,200,,
10/29/2015 13:18:59,DFJHSS,27,4,28,10,5,90,186,,@DFJH_Mitchell,,,,584,,
10/29/2015 13:19:48,DFJHSS,31,3.5,23.5,10,5,87,190,,@DFJH_Mitchell,,,,250,,
10/29/2015 13:21:23,DFJHSS,22,8,24,10,5,78,163,,@DFJH_Mitchell,,,,350,,
10/29/2015 13:22:44,DFJHSS,23,2.5,23,10,5,75,153,,@DFJH_Mitchell,,,,4000,,
10/29/2015 13:35:43,Merlin Area Public School,19.8,2.7,19.2,15.2,1.59,72.1,509,,Mr. Sanders,,,,375,,
10/30/2015 9:40:04,,27.5,3.1,25,8.6,4,85.5,321,,,,,,,,
10/30/2015 10:55:20,St. Ann Catholic Elementary School,28,,25,9,6,87,120,,@mreshulansclass,the top started to go up but the elastics pulled it back down. The elastics ended up in a ball inside the pumpkin.,,,250,,
10/30/2015 12:13:32,Whitehall Middle School,10.9,2,12.8,13.5,6,37.4,102,,Boyd/ @jaboyd814,,,,162,,
10/30/2015 12:46:13,Connaught Public School,31,2.5,33,9,7,94,195,,Michelle Richardson,We had so much fun!!!,,,140,,
10/30/2015 13:08:55,Whitehall Middle School,11.4,2.5,11.7,13.5,6,44,151,,Boyd / @jaboyd814,,,,164,,
10/30/2015 13:45:32,Gallagher MIddle School,27,4,26.5,8.85,3,80,406,,@Mrsaint18,It was awsome....video FAILED! :( ,,,318,,
10/30/2015 13:57:46,"Loranger Memoral School, OOB, Maine",20.32,3.048,25.4,12.7,0.508,76.2,132,https://www.youtube.com/watch?v=LfQZBXnyqu8,@MisterCLoranger,,,,300,,
10/30/2015 15:25:14,Schuyler Central High School,20.32,4.445,23.495,8.89,6.35,80.01,189,https://www.youtube.com/watch?v=rs89EwuCYO4,Trever Reeh/@treverreeh,Tremendous amount of fun.,,,254,,
10/30/2015 15:30:32,Schuyler Central High School,27.305,3.81,22.86,8.89,6.35,86.36,228,https://www.youtube.com/watch?v=7FPxdTOfOlo,Trever Reeh/ @treverreeh,We almost ran out of rubber bands... had to go ask the teacher next door for some.,,,254,,
11/2/2015 7:48:44,Whitehall Highschool,24.8,3,21,9.5,6,78,210,,Kathy Hector / ,,,,,,
11/2/2015 7:48:49,Whitehall High School,24.8,3,24,9.5,6,78,210,,Kathy Hector,,,,202,,
11/2/2015 7:48:59,Whitehall high school,26.7,3,24.1,9.5,6,77.5,229,,Kathy Hector,,,,300,,
11/2/2015 7:49:05,Whitehall high school,23,3,23,9.5,0.6,72,124,,Kathy Hector,,,,229,,
11/2/2015 7:49:33,Whitehall High School,26.67,3,24,9.5,6,77.4,240,,Kathy Hector,,,,207,,
11/2/2015 7:49:43,Whitehall Highschool,26.67,3,24,9.5,6,77.4,240,,Kathy Hector,,,,190,,
11/2/2015 7:49:56,Whitehall,22,3,30,9.5,6,69,106,,Mrs. Hector,,,,,,
11/2/2015 7:50:30,Whitehall High School,22,3,30,9.5,6,50,106,,Mrs.Hector,,,,211,,
11/2/2015 7:50:50,Whitehall High School,21,2,21,9.5,6,66,77,,Mrs. Hector,,,,210,,
11/2/2015 7:52:05,Whitehall High School,21,2,21,9.5,6,66,90,,Kathy Hector,,,,200,,
11/2/2015 7:54:59,Whitehall High School,25,3,24,9.5,6,72,210,,Kathy Hector,,,,196,,
11/2/2015 8:09:58,Whitehall High School,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=JWPvO_UVXiQ,Kathy Hector,,,,,,
11/2/2015 9:29:01,HHS,73.5,5,33,8.89,3.175,73.5,250,,Mr.Baumgart,,,,304,,
11/2/2015 9:29:03,,33.5,3,26,8.89,3.175,67,140,,,,,,,,
11/2/2015 9:30:14,Dylan Marshall,20,3,28,8.89,6.35,28.5,144,,mr. B,,,,223,,
11/2/2015 9:31:47,Huntsville High School,31.5,3,30,8.89,0.32,63,116,youtube.co/watch?v=h3GXlkktgal,Mr.J.Baumgart,iaminspired is my password,,,207,,
11/2/2015 9:33:47,Huntsville High School,15,2.5,28,8.89,6.35,57,139,,James Baumgart,,,,250,,
11/2/2015 9:37:26,Huntsville High School,18,3,23,8.89,6.35,60,144,,Mr Baumgart,,,,,,
11/2/2015 9:41:02,Huntsville High School,23,3.5,26.5,8.89,6.35,82,300,,Mr.Baumgaurt,"Some important information we discovered was that, when a group used the thicker elastic bands, their pumpkin exploded first. We used the thinner elastic bands, and our pumpkin was the last to exploded and was the pumpkin that used the most bands. ",,,234,,
11/2/2015 9:44:04,Huntsville HS,31.5,1.5,30,8.89,32,63,129,,Mr.Baumgart,"It didn't explode, the top just popped off",,,157,,
11/2/2015 11:03:00,NCPS,43.5,3,35,29,1,87,172,,Mrs. Smith,,,,100,,
11/3/2015 15:23:26,EMS,30.5,33.5,36,,,96.5,105,,,,,,230,,
11/3/2015 15:24:52,EMS,10.5,4,27,,,33,140,,,,,,200,,
11/3/2015 15:26:04,EMS,9.5,1,,,,30,140,,,,,,150,,
11/4/2015 18:53:30,,26.1,4,22,7.62,3.175,82,245,,,,,,,,
11/4/2015 18:54:00,,29,4,22,7.69,3.175,91,365,,,,,,,,
11/6/2015 11:30:01,Fort Frances High School,24,,25,15,6.4,82,191,,Mr. Gibson,We forgot to measure the Thickness of the pumpkin.,,,215,,
11/6/2015 11:32:33,Fort Frances High School,25,,32,64,6.4,78,190,,Mr. Gibson / @jgibson314,We didn't get the thickness of the pumpkin.,,,,,
11/6/2015 11:38:28,muskie high school,25,3,27,9,6.4,24,149,,jgibson314,,,,207,,
11/6/2015 11:39:14,fort frances high school,14,3,11.9,5,3.2,32,276,,@jgibson314,"It hit Malena in the nose, it also made a big ball of elastic bands, the stem of the pumpkin (his name was Tiny Tim) blew off and went across the room. ",,,,,
11/6/2015 11:46:29,,22,3,28,9,64,86,182,,,,,,,,
11/9/2015 11:53:03,Fort High,23.3,2.4,27.3,7.6,3.2,73.2,337,,Mr.Gibbson,,,,300,,
11/9/2015 11:55:29,Fort Frances High,36,5,12,6,3,56,256,,Mr.Gibson,,,,263,,
11/9/2015 11:59:56,Fort Frances ,26,2,21,6.4,6.4,77,140,,Mr. Gibson,,,,199,,
11/9/2015 12:16:18,Fort Frances High School ,27,3.3,42,7.6,3.2,57,273,,@jgibson314,,,,,,
11/19/2015 10:24:56,Purvis Middle School,18,5,21,6,1,60,268,,Ms.Watson/@MsC_Watson,,,,150,,
11/19/2015 10:25:19,Purvis Middle School,18.5,5.8,20.7,7.4,0.4,67,347,,Ms. Watson/@MsC_Watson,,,,121,,
11/19/2015 10:26:12,Purvis Middle School ,23,2,21,5.5,0.5,65,264,,Cononiah Watson/@MsC_Watson ,,,,200,,
11/19/2015 10:26:22,Purvis Middle School,20,2.5,19,18,4,60,395,,Mr Mason,it was messy but fun,,,,,
11/19/2015 10:28:13,Purvis Middle,20,2.5,22,7,2.5,62,213,,Cononiah Watson/@MsC_Watson,,,,230,,
11/19/2015 11:55:07,Purvis Middle,20,,19,0,0,61,0,,Cononiah Watson/ @MsC_Waatson,,,,,,
11/19/2015 12:46:49,PJH,12.6,,13.5,6,2,46,650,,Mr.Mason,,,,,,
11/19/2015 13:22:51,Purvis Middle,20,,19,7,3,61,1,,Cononiah Watson/ @MsC_W?atson,,,,200,,
11/19/2015 13:23:59,Purvis Middle School,21.3,2,21.3,8.5,2,67,330,,Mr. Mason,The rubber bands weren't the same size. The pumpkin was very bumpy. At about 285 the pumpkin started leaking juice.,,,262,,
11/19/2015 13:24:48,Purvis Middle School,17,3,17,6,4,60,248,,Cononiah Watson/@MsC_Watson,,,,378,,
11/19/2015 13:25:01,Purvis Middle School,18.5,2,16.5,6.5,3,25.9,225,,Cononiah Watson/@MsC_watson ,,,,195,,
11/19/2015 13:25:19,Purvis Middle School,18,2,21,8,4,52,319,,Cononiala Watson/ @Ms.C_Watson,,,,,,
11/19/2015 13:26:46,Purvis Middle,19,2,20,20,7,61,350,,Cononiah Watson/ @MsC_Watson,,,,200,,
11/19/2015 13:27:32,Purvis Middle,20,2,19,7,3,61,351,,Cononiah Watson/ @MsC_W?atson,,,,200,,
11/19/2015 13:32:48,Purvis Middle School,16,3,21,7.4,3,67,401,,Mr. Mason,,,,about 245,,
11/19/2015 15:15:15,Purvis Middle School ,26.5,3,16,7.5,3,60,285,,CononiachWatson/@MsC_Watson ,,,,150,,
11/19/2015 15:15:24,Purvis Middle School,21,2,13,7.5,3,75,202,,Cononiah Watson/@MsC_Watson,,,,380,,
11/19/2015 15:16:05,Purvis Middle School,16,2.5,18,7,6,56,278,,Ms.Watson/@MsC_Watson,,,,450,,
11/19/2015 15:16:26,Purvis Middle School,17,1.5,19,7.5,0.3,60,159,,Ms. Watson/@MsC_Watson,,,,350,,
11/19/2015 15:54:28,Purvis Middle,15.3,1.5,13.5,16.14,4,48,293,,Mason,"the number of rubber bands. The size of the pumpkin. The age of the pumpkin . How tall of the pumpkin is.Also, the thickness in the walls of the pumpkin. The pressure already in the pumpkin is a factor, and also the measurements and the empty space in the pumpkin, and the amount of guts of the pumpkin.",,,800 Rubber Bands,,
11/24/2015 7:48:36,SRMS,27,4,40.5,7.62,0.32,84,724,,Nelson,The pumpkin was not at room temperature when we started.  It came right out of the trunk of the car.  ,,,235,,
10/17/2016 11:48:51,Lakeroad,29,,22,16,6,91,327,,,,,,350 bands,,
10/17/2016 11:52:19,Cole,26,3.5,22,16,4,91,214,,Mrs.dent,,,,204,,
10/17/2016 11:52:19,Lakeroad,26,3.5,22,16,4,91,314,,Mrs. Dent ,,,,203,,
10/17/2016 11:52:56,Lakeroad public school,27,3,21,14,1,91,314,N/A,Mrs.Dent,My group is Jonathan and Ethan as well me which my name is Michael.,,,250,,
10/17/2016 11:52:56,Lakeroad,29,3.5,22,1.6,4,91,314,,Mrs.Dent,at about 45-50 bands it got some bulges in it. at about 250 bands it started leaking pumpkin juice.,,,240,,
10/17/2016 12:01:59,Lakeroad,29,3.5,22,16,4,91,314,,Mrs dent,,,,275,,
10/17/2016 15:01:48,Lakeroad Public School,29,4,22,16,1,91,317,,Dent,,,,300,,
10/24/2016 8:56:32,,21,4,22,8,3,70,380,,,It took a lot more than we thought. Our bands were too spread out and the pumpkin was very thick. ,,,,,
10/24/2016 9:01:40,North Dundas Intermediate School,23,3,27,20,70,66,285,,Ms. Gibbs,,,,,,
10/24/2016 10:09:41,NDDHS,20,3.5,24,8,3,67,432,,K. Fife,"As we ran out of elastics at 432, the pumpkin was left for 10 minutes and exploded on it's own after time",,,250,,
10/27/2016 10:25:30,R.A. Riddell,31,3.5,31,8.89,0.63,63,240,,Mr. McEwen/ @mcewenshawn,,,,180,,
10/27/2016 12:42:52,R.A. Riddell,30,3.5,32,8.89,0.63,93,312,,Mr. McEwen/ @mcewenshawn,,,,192,,
10/27/2016 14:19:38,R.A. Riddell,26,,27,8.2,0.63,92,190,3.5,@mcewenshawn,,,,226,,
10/28/2016 8:28:36,Erin District High School,28.3,3.5,,,,89,245,,Ms. Wilson,,,,305,,
10/28/2016 8:29:35,Erin District High School,19.1,3.81,,,,60,310,,Ms. Wilson,,,,,,
10/28/2016 8:30:21,Erin District High School,23.9,5,,,,75,203,,Ms. Wilson ,,,,,,
10/28/2016 8:30:56,Erin District High School,9.7,3,,,,30.5,184,,Ms. Wilson,,,,,,
